,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W - L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
239,TCU,MWC,6-25,-7.26,94,101.2,66.5,-0.06,2.91,104.2,101.3,-1.79
240,Robert Morris,NEC,15-14,-7.3,104,111.3,66.7,0.035,-6.65,98.6,105.2,-2.49
241,Hartford,AE,13-15,-7.45,101.6,109.1,65.1,-0.026,-7.53,97.8,105.3,-5.95
242,Mount St. Mary's,NEC,13-17,-7.57,96.8,104.4,63.4,-0.008,-5.99,100.4,106.4,-0.69
243,Cleveland St.,Horz,10-18,-7.75,91.6,99.4,68.1,-0.01,0.06,104.9,104.8,-1.34
244,Western Carolina,SC,13-17,-7.77,99.7,107.5,63.4,-0.036,-3.75,101.4,105.2,2.15
245,Florida Atlantic,ASun,15-13,-7.8,102.4,110.2,65,0.013,-9.93,98.9,108.9,-1.06
246,Richmond,A10,13-17,-7.85,93.6,101.4,55.2,0.088,0.33,102.9,102.5,-4.98
247,Cal Poly,BW,10-19,-7.88,99.8,107.7,62.6,-0.025,-0.7,103.5,104.2,0.71
248,Southern Utah,MCon,10-20,-7.93,101.7,109.6,64.6,-0.1,-4.01,102.6,106.6,1.61
249,Towson,CAA,12-16,-7.97,103.1,111.1,67.4,0.074,-1.76,101.3,103.1,-8.21
250,Weber St.,BSky,10-17,-8.01,99,107,62.6,0.02,-1.02,104.3,105.4,-1.28
251,Wofford,SC,11-18,-8.13,99.6,107.7,63.2,-0.079,-1.74,102.7,104.5,10.23
