									Strength of Schedule			NCSOS
Rk	Team	Conf	W - L	AdjEM	AdjO	AdjD	AdjT	Luck	AdjEM	OppO	OppD	AdjEM
221	Toledo	MAC	11-19	-5.85	94.1	99.9	64.3	0.084	3.89	106	102.1	7.92
222	Youngstown St.	Horz	9-21	-5.88	97.9	103.8	67.2	0.013	3.76	105.2	101.4	5.45
223	Florida Atlantic	SB	15-18	-5.88	102.7	108.6	68.6	0.029	-4.02	101.2	105.2	-5.96
224	Binghamton	AE	14-16	-5.89	100	105.9	62.3	-0.018	-5.84	101.5	107.4	-3.08
225	East Carolina	CUSA	11-19	-6.08	103.8	109.9	65.2	-0.036	1.09	103.5	102.5	-3.11
226	Boston University	AE	14-17	-6.08	97.2	103.3	63.1	0.01	-4.37	101.9	106.3	0.53
227	Pepperdine	WCC	11-21	-6.39	99.9	106.3	72.7	-0.008	1.33	104	102.6	3.35
228	Wagner	NEC	23-8	-6.44	97.1	103.6	67.4	0.226	-8.81	99.5	108.3	-7.79
229	Tennessee St.	OVC	15-17	-6.76	104.1	110.8	68.6	-0.019	-6.32	102.1	108.4	10.98
230	Montana St.	BSky	15-15	-6.95	104.8	111.8	66.4	0.015	-4.18	101.3	105.5	-0.33
231	Hawaii	WAC	11-19	-7.02	102.2	109.2	66.8	-0.054	-3.48	101.6	105.1	-4.96
232	Yale	Ivy	13-15	-7.15	99.9	107.1	65.4	0.019	-4.77	101.4	106.2	1.17
233	Denver	SB	11-19	-7.16	98.4	105.5	55.2	-0.042	-1.93	102.9	104.8	-0.58
234	Ball St.	MAC	6-24	-7.21	95.7	102.9	61.1	-0.048	1.36	104.1	102.7	4.12
235	Northern Colorado	BSky	13-16	-7.22	100	107.3	67.7	-0.011	-4.78	101.3	106.1	-1.42
236	McNeese St.	Slnd	13-16	-7.26	96.6	103.8	65.2	0.004	-2.46	100.8	103.3	4.78
237	Quinnipiac	NEC	15-15	-7.37	104.8	112.2	66.6	0.025	-7.16	99.3	106.4	-5.23
238	Manhattan	MAAC	12-19	-7.41	101.8	109.3	66	-0.061	-4.72	100.6	105.4	-8.85
239	Troy	SB	12-19	-7.42	104.5	111.9	70.2	-0.03	-1.83	103.2	105.1	-3.63
240	Towson	CAA	13-18	-7.45	99.2	106.7	65.5	0.039	-2.97	101.4	104.4	-4.45
241	Bucknell	Pat	12-19	-7.46	95.8	103.3	62.2	0.048	-2.53	101.8	104.3	-1.12
242	Nicholls St.	Slnd	10-21	-7.52	94.9	102.4	64.8	-0.045	-0.72	102.8	103.5	7.3
243	Western Carolina	SC	10-21	-7.58	98.6	106.1	63.3	-0.04	-0.5	104.1	104.6	1.44
244	Texas Pan American	ind	18-13	-7.73	105.5	113.2	62.6	-0.005	-9.72	97.8	107.5	-4.81
245	Hartford	AE	18-16	-7.73	102.4	110.1	66.5	0.116	-5.23	100.5	105.8	-2.54
246	Oregon St.	P10	6-25	-7.91	95.3	103.3	65.1	-0.051	7.87	108.7	100.8	-11.14
247	Tennessee Martin	OVC	17-16	-8.1	106.1	114.2	68.1	0.026	-7.99	100.2	108.2	4.93
248	Eastern Washington	BSky	11-19	-8.11	96.3	104.4	64	-0.032	-2.47	102.5	104.9	5.02
249	Tennessee Tech	OVC	13-19	-8.17	99.9	108.1	69.9	-0.086	-7.2	101.1	108.3	3.02
250	Lehigh	Pat	14-15	-8.26	96.6	104.8	64.2	0.025	-6.99	98.8	105.8	-9.38
251	Detroit	Horz	7-23	-8.32	100.7	109	60.3	-0.061	1.91	104.2	102.3	-0.65
252	Georgia St.	CAA	9-21	-8.47	98.3	106.8	62.2	-0.016	-2.8	101.4	104.2	-5.32
